pt_id,val,fid_val,no_obs,l.,s.,sig_l,sig_s,res_l,res_s,fid_x,fid_y,ipf_file
1_8344_8845_4r,1,0,0,-4058.982422,-2318.0107420000004,0.0,0.0,-0.062556,-0.21471300000000001,0.0,0.0,P20_008845_1894_XN_09N203W
2_8344_8845_4r,1,0,0,-3969.065186,-606.849243,0.0,0.0,0.22866,0.105249,0.0,0.0,P20_008845_1894_XN_09N203W
3_8344_8845_4r_mt_z,1,0,0,-1019.7390140000001,-2300.877197,0.0,0.0,-0.025129,-0.002447,0.0,0.0,P20_008845_1894_XN_09N203W
4_8344_8845_4r_mt_z,1,0,0,-1037.0991210000002,-548.180237,0.0,0.0,-0.0007559999999999999,0.227752,0.0,0.0,P20_008845_1894_XN_09N203W
5_8344_8845_4r,1,0,0,2438.9841309999997,-2304.8435059999997,0.0,0.0,0.062022,-0.10997699999999999,0.0,0.0,P20_008845_1894_XN_09N203W
6_8344_8845_4r,1,0,0,2397.826904,-562.432861,0.0,0.0,-0.07267799999999999,-0.056103999999999994,0.0,0.0,P20_008845_1894_XN_09N203W
7_8344_8845_4r_mt_z,1,0,0,-2510.927734,-1267.364868,0.0,0.0,0.21525,-0.040427,0.0,0.0,P20_008845_1894_XN_09N203W
8_8344-8845_4r_mt_z,1,0,0,840.825317,-1028.345337,0.0,0.0,-0.24192199999999997,0.382924,0.0,0.0,P20_008845_1894_XN_09N203W
9_8344_8845_4r,1,0,0,-4070.962158,2465.817139,0.0,0.0,-0.140837,0.00598,0.0,0.0,P20_008845_1894_XN_09N203W
10_8344_8845_4r,1,0,0,-4044.69751,1008.950928,0.0,0.0,0.063678,0.6612939999999999,0.0,0.0,P20_008845_1894_XN_09N203W
11_8344_8845_4r,1,0,0,-761.216064,2303.787109,0.0,0.0,-0.24730700000000003,-0.587299,0.0,0.0,P20_008845_1894_XN_09N203W
12_8344_8845_4r,1,0,0,-889.364441,966.5339970000001,0.0,0.0,-0.251753,0.00817,0.0,0.0,P20_008845_1894_XN_09N203W
13_8344_8845_4r,1,0,0,-2559.871338,1777.522827,0.0,0.0,-0.13126500000000002,-0.305102,0.0,0.0,P20_008845_1894_XN_09N203W
14_8344_8845_4r,1,0,0,2385.27832,2476.032227,0.0,0.0,0.389532,-0.29925799999999997,0.0,0.0,P20_008845_1894_XN_09N203W
15_8344_8845_4r_mt_z,1,0,0,2395.869385,1038.165405,0.0,0.0,-0.17085,0.372485,0.0,0.0,P20_008845_1894_XN_09N203W
16_8344_8845_4r,1,0,0,756.099792,1785.4947510000002,0.0,0.0,0.165338,-0.327408,0.0,0.0,P20_008845_1894_XN_09N203W
17_8344_8845_2r_mt_z,1,0,0,-3138.269531,442.515503,0.0,0.0,-0.02337,-0.24864299999999998,0.0,0.0,P20_008845_1894_XN_09N203W
18_8344_8845_2r,1,0,0,-1773.8649899999998,354.084259,0.0,0.0,-0.002223,-0.000684,0.0,0.0,P20_008845_1894_XN_09N203W
19_8344_8845_2r_mt_z,1,0,0,-92.482826,723.305237,0.0,0.0,-0.214498,0.14519200000000002,0.0,0.0,P20_008845_1894_XN_09N203W
20_8344_8845_2r_mt_z,1,0,0,1434.079712,742.064026,0.0,0.0,-0.058132,-0.171782,0.0,0.0,P20_008845_1894_XN_09N203W
21_8344_8845_4r_xyz,1,0,0,-838.9910279999999,-614.524109,0.0,0.0,-0.131313,0.9971200000000001,0.0,0.0,P20_008845_1894_XN_09N203W
22_8344_8845_4r_mt_z,1,0,0,-3994.073975,-2160.606445,0.0,0.0,0.21777399999999997,-0.141372,0.0,0.0,P20_008845_1894_XN_09N203W
23_8344_8845_4r_mt_z,1,0,0,-3851.86499,2088.046875,0.0,0.0,-0.07844,-0.22165,0.0,0.0,P20_008845_1894_XN_09N203W
24_8344_8845_4r_mt_z,1,0,0,2343.634033,-2073.817871,0.0,0.0,-0.27434400000000003,0.06779099999999999,0.0,0.0,P20_008845_1894_XN_09N203W
25_8344_8845_4r_mt_z,1,0,0,2350.053711,2168.792236,0.0,0.0,-0.311081,-0.152226,0.0,0.0,P20_008845_1894_XN_09N203W
26_8344_8845_4r_mt_z,1,0,0,-1844.550781,-996.0164789999999,0.0,0.0,-0.108472,0.122981,0.0,0.0,P20_008845_1894_XN_09N203W
27_8344_8845_2r_mt_z,1,0,0,-1618.0053710000002,700.699158,0.0,0.0,-0.020846,0.073456,0.0,0.0,P20_008845_1894_XN_09N203W
28_8344_8845_4r_mt_z,1,0,0,521.921509,-1602.4414060000001,0.0,0.0,-0.009861,0.363227,0.0,0.0,P20_008845_1894_XN_09N203W
29_8344_8845_4r_mt_z,1,0,0,820.691284,1469.345459,0.0,0.0,-0.664959,-0.06624400000000001,0.0,0.0,P20_008845_1894_XN_09N203W
30_8344_8845_3r_mt_z,1,0,0,-326.405365,-283.346985,0.0,0.0,-0.20681100000000002,0.180573,0.0,0.0,P20_008845_1894_XN_09N203W
